title,year,genres,critics_score,audience_score
The Menu,2022,"['Horror', 'Mystery & Thriller', 'Comedy']",88.0,76.0
The Cabin in the Woods,2011,"['Horror', 'Comedy', 'Mystery & Thriller']",92.0,74.0
The Long Walk,2025,"['Mystery & Thriller', 'Horror']",88.0,85.0
Mission: Impossible - The Final Reckoning,2025,"['Action', 'Adventure', 'Mystery & Thriller']",80.0,88.0
The Roses,2025,"['Comedy', 'Drama']",65.0,79.0
The Godfather,1972,"['Crime', 'Drama']",97.0,98.0
The Fantastic Four: First Steps,2025,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",86.0,91.0
The Witch,2015,"['Horror', 'History', 'Drama']",91.0,61.0
The Holdovers,2023,"['Holiday', 'Comedy', 'Drama']",97.0,92.0
The Conjuring: Last Rites,2025,"['Horror', 'Mystery & Thriller']",59.0,78.0
The Ballad of Wallis Island,2025,"['Comedy', 'Drama', 'Music']",96.0,93.0
I Saw the TV Glow,2024,"['Sci-Fi', 'Horror', 'Drama', 'LGBTQ+', 'Mystery & Thriller']",85.0,71.0
Back to the Future,1985,"['Comedy', 'Sci-Fi']",93.0,95.0
The Naked Gun,2025,"['Comedy', 'Action', 'Crime']",88.0,73.0
The Silence of the Lambs,1991,"['Mystery & Thriller', 'Crime', 'Drama']",95.0,95.0
The Outfit,2022,"['Mystery & Thriller', 'Crime', 'Drama']",86.0,92.0
The Invisible Man,2020,"['Horror', 'Mystery & Thriller']",92.0,88.0
F1 The Movie,2025,"['Action', 'Drama', 'Sports']",82.0,97.0
The Asset,2025,"['Drama', 'Mystery & Thriller', 'Crime']",64.0,82.0
The Bad Guys 2,2025,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",87.0,94.0
The Batman,2022,"['Action', 'Adventure', 'Crime', 'Drama']",85.0,87.0
Under the Skin,2013,['Sci-Fi'],83.0,55.0
The Green Mile,1999,"['Drama', 'Fantasy']",78.0,94.0
The Town,2010,"['Crime', 'Drama', 'Mystery & Thriller']",92.0,85.0
Night of the Reaper,2025,['Horror'],79.0,63.0
